"date","Plate.SN","DIV","well","trt","dose","units","file.name","wt.mean.resistance"
"20220209","MW89-4613",2,"F1","Rotenone",3e-05,"uM","iNFA_20220209_MW89-4613_02_(000)_Compiler.csv",18.670688
"20220209","MW89-4613",2,"F2","DMSO",0,"uM","iNFA_20220209_MW89-4613_02_(000)_Compiler.csv",15.791891
"20220209","MW89-4613",2,"F3","Rotenone",1e-04,"uM","iNFA_20220209_MW89-4613_02_(000)_Compiler.csv",21.219567
"20220209","MW89-4613",2,"F4","Rotenone",3e-04,"uM","iNFA_20220209_MW89-4613_02_(000)_Compiler.csv",16.933375
"20220209","MW89-4613",2,"F5","Rotenone",0.001,"uM","iNFA_20220209_MW89-4613_02_(000)_Compiler.csv",19.605681
"20220209","MW89-4613",2,"F6","Rotenone",0.003,"uM","iNFA_20220209_MW89-4613_02_(000)_Compiler.csv",19.13495
"20220209","MW89-4613",2,"F7","Rotenone",0.01,"uM","iNFA_20220209_MW89-4613_02_(000)_Compiler.csv",20.300114
"20220209","MW89-4613",2,"F8","Rotenone",0.03,"uM","iNFA_20220209_MW89-4613_02_(000)_Compiler.csv",21.190567
"20220209","MW89-4613",5,"A1","Thiamethoxam",0.03,"uM","iNFA_20220209_MW89-4613_05_(000)_Compiler.csv",16.888906
"20220209","MW89-4613",5,"A2","DMSO",0,"uM","iNFA_20220209_MW89-4613_05_(000)_Compiler.csv",15.383191
"20220209","MW89-4613",5,"A3","Thiamethoxam",0.1,"uM","iNFA_20220209_MW89-4613_05_(000)_Compiler.csv",20.026634
"20220209","MW89-4613",5,"A4","Thiamethoxam",0.3,"uM","iNFA_20220209_MW89-4613_05_(000)_Compiler.csv",15.47747
"20220209","MW89-4613",5,"A5","Thiamethoxam",1,"uM","iNFA_20220209_MW89-4613_05_(000)_Compiler.csv",18.684147
"20220209","MW89-4613",5,"A6","Thiamethoxam",3,"uM","iNFA_20220209_MW89-4613_05_(000)_Compiler.csv",16.956683
"20220209","MW89-4613",5,"A7","Thiamethoxam",10,"uM","iNFA_20220209_MW89-4613_05_(000)_Compiler.csv",17.531603
"20220209","MW89-4613",5,"A8","Thiamethoxam",30,"uM","iNFA_20220209_MW89-4613_05_(000)_Compiler.csv",19.18503
"20220209","MW89-4613",5,"B1","Tributyltin Chloride",1e-04,"uM","iNFA_20220209_MW89-4613_05_(000)_Compiler.csv",18.588807
"20220209","MW89-4613",5,"B2","DMSO",0,"uM","iNFA_20220209_MW89-4613_05_(000)_Compiler.csv",19.09349
"20220209","MW89-4613",5,"B3","Tributyltin Chloride",3e-04,"uM","iNFA_20220209_MW89-4613_05_(000)_Compiler.csv",19.827309
"20220209","MW89-4613",5,"B4","Tributyltin Chloride",0.001,"uM","iNFA_20220209_MW89-4613_05_(000)_Compiler.csv",19.674841
"20220209","MW89-4613",5,"B5","Tributyltin Chloride",0.003,"uM","iNFA_20220209_MW89-4613_05_(000)_Compiler.csv",21.170396
"20220209","MW89-4613",5,"B6","Tributyltin Chloride",0.01,"uM","iNFA_20220209_MW89-4613_05_(000)_Compiler.csv",19.129711
"20220209","MW89-4613",5,"B7","Tributyltin Chloride",0.03,"uM","iNFA_20220209_MW89-4613_05_(000)_Compiler.csv",20.006646
"20220209","MW89-4613",5,"B8","Tributyltin Chloride",0.1,"uM","iNFA_20220209_MW89-4613_05_(000)_Compiler.csv",7.529889
"20220209","MW89-4613",5,"C1","Deltamethrin",0.03,"uM","iNFA_20220209_MW89-4613_05_(000)_Compiler.csv",18.876998
"20220209","MW89-4613",5,"C2","EtOH:DMSO",0,"uM","iNFA_20220209_MW89-4613_05_(000)_Compiler.csv",16.853331
"20220209","MW89-4613",5,"C3","Deltamethrin",0.1,"uM","iNFA_20220209_MW89-4613_05_(000)_Compiler.csv",19.006933
"20220209","MW89-4613",5,"C4","Deltamethrin",0.3,"uM","iNFA_20220209_MW89-4613_05_(000)_Compiler.csv",20.957925
"20220209","MW89-4613",5,"C5","Deltamethrin",1,"uM","iNFA_20220209_MW89-4613_05_(000)_Compiler.csv",18.631811
"20220209","MW89-4613",5,"C6","Deltamethrin",3,"uM","iNFA_20220209_MW89-4613_05_(000)_Compiler.csv",19.77277
"20220209","MW89-4613",5,"C7","Deltamethrin",10,"uM","iNFA_20220209_MW89-4613_05_(000)_Compiler.csv",20.985852
"20220209","MW89-4613",5,"C8","Deltamethrin",30,"uM","iNFA_20220209_MW89-4613_05_(000)_Compiler.csv",21.760921
"20220209","MW89-4613",5,"D1","Glyphosate",0.03,"uM","iNFA_20220209_MW89-4613_05_(000)_Compiler.csv",13.919288
"20220209","MW89-4613",5,"D2","H2O",0,"uM","iNFA_20220209_MW89-4613_05_(000)_Compiler.csv",17.649196
"20220209","MW89-4613",5,"D3","Glyphosate",0.1,"uM","iNFA_20220209_MW89-4613_05_(000)_Compiler.csv",20.382925
"20220209","MW89-4613",5,"D4","Glyphosate",0.3,"uM","iNFA_20220209_MW89-4613_05_(000)_Compiler.csv",17.327651
"20220209","MW89-4613",5,"D5","Glyphosate",1,"uM","iNFA_20220209_MW89-4613_05_(000)_Compiler.csv",19.744142
"20220209","MW89-4613",5,"D6","Glyphosate",3,"uM","iNFA_20220209_MW89-4613_05_(000)_Compiler.csv",19.486282
"20220209","MW89-4613",5,"D7","Glyphosate",10,"uM","iNFA_20220209_MW89-4613_05_(000)_Compiler.csv",17.314686
"20220209","MW89-4613",5,"D8","Glyphosate",30,"uM","iNFA_20220209_MW89-4613_05_(000)_Compiler.csv",13.466263
"20220209","MW89-4613",5,"E1","Lindane",0.03,"uM","iNFA_20220209_MW89-4613_05_(000)_Compiler.csv",14.773058
"20220209","MW89-4613",5,"E2","EtOH",0,"uM","iNFA_20220209_MW89-4613_05_(000)_Compiler.csv",17.286704
"20220209","MW89-4613",5,"E3","Lindane",0.1,"uM","iNFA_20220209_MW89-4613_05_(000)_Compiler.csv",16.42964
"20220209","MW89-4613",5,"E4","Lindane",0.3,"uM","iNFA_20220209_MW89-4613_05_(000)_Compiler.csv",17.749011
"20220209","MW89-4613",5,"E5","Lindane",1,"uM","iNFA_20220209_MW89-4613_05_(000)_Compiler.csv",16.477185
"20220209","MW89-4613",5,"E6","Lindane",3,"uM","iNFA_20220209_MW89-4613_05_(000)_Compiler.csv",17.699478
"20220209","MW89-4613",5,"E7","Lindane",10,"uM","iNFA_20220209_MW89-4613_05_(000)_Compiler.csv",17.323865
"20220209","MW89-4613",5,"E8","Lindane",30,"uM","iNFA_20220209_MW89-4613_05_(000)_Compiler.csv",15.333191
"20220209","MW89-4613",5,"F1","Rotenone",3e-05,"uM","iNFA_20220209_MW89-4613_05_(000)_Compiler.csv",15.817307
"20220209","MW89-4613",5,"F2","DMSO",0,"uM","iNFA_20220209_MW89-4613_05_(000)_Compiler.csv",17.848087
"20220209","MW89-4613",5,"F3","Rotenone",1e-04,"uM","iNFA_20220209_MW89-4613_05_(000)_Compiler.csv",15.825071
"20220209","MW89-4613",5,"F4","Rotenone",3e-04,"uM","iNFA_20220209_MW89-4613_05_(000)_Compiler.csv",16.555453
"20220209","MW89-4613",5,"F5","Rotenone",0.001,"uM","iNFA_20220209_MW89-4613_05_(000)_Compiler.csv",18.672453
"20220209","MW89-4613",5,"F6","Rotenone",0.003,"uM","iNFA_20220209_MW89-4613_05_(000)_Compiler.csv",15.520396
"20220209","MW89-4613",5,"F7","Rotenone",0.01,"uM","iNFA_20220209_MW89-4613_05_(000)_Compiler.csv",20.080638
"20220209","MW89-4613",5,"F8","Rotenone",0.03,"uM","iNFA_20220209_MW89-4613_05_(000)_Compiler.csv",21.021938
"20220209","MW89-4613",7,"A1","Thiamethoxam",0.03,"uM","iNFA_20220209_MW89-4613_07_(000)_Compiler.csv",14.170702
"20220209","MW89-4613",7,"A2","DMSO",0,"uM","iNFA_20220209_MW89-4613_07_(000)_Compiler.csv",16.586016
"20220209","MW89-4613",7,"A3","Thiamethoxam",0.1,"uM","iNFA_20220209_MW89-4613_07_(000)_Compiler.csv",20.10244
"20220209","MW89-4613",7,"A4","Thiamethoxam",0.3,"uM","iNFA_20220209_MW89-4613_07_(000)_Compiler.csv",17.401522
"20220209","MW89-4613",7,"A5","Thiamethoxam",1,"uM","iNFA_20220209_MW89-4613_07_(000)_Compiler.csv",17.350676
"20220209","MW89-4613",7,"A6","Thiamethoxam",3,"uM","iNFA_20220209_MW89-4613_07_(000)_Compiler.csv",16.949444
"20220209","MW89-4613",7,"A7","Thiamethoxam",10,"uM","iNFA_20220209_MW89-4613_07_(000)_Compiler.csv",17.158085
"20220209","MW89-4613",7,"A8","Thiamethoxam",30,"uM","iNFA_20220209_MW89-4613_07_(000)_Compiler.csv",15.943996
"20220209","MW89-4613",7,"B1","Tributyltin Chloride",1e-04,"uM","iNFA_20220209_MW89-4613_07_(000)_Compiler.csv",18.08696
"20220209","MW89-4613",7,"B2","DMSO",0,"uM","iNFA_20220209_MW89-4613_07_(000)_Compiler.csv",20.202777
"20220209","MW89-4613",7,"B3","Tributyltin Chloride",3e-04,"uM","iNFA_20220209_MW89-4613_07_(000)_Compiler.csv",17.968964
"20220209","MW89-4613",7,"B4","Tributyltin Chloride",0.001,"uM","iNFA_20220209_MW89-4613_07_(000)_Compiler.csv",17.168796
"20220209","MW89-4613",7,"B5","Tributyltin Chloride",0.003,"uM","iNFA_20220209_MW89-4613_07_(000)_Compiler.csv",18.751767
"20220209","MW89-4613",7,"B6","Tributyltin Chloride",0.01,"uM","iNFA_20220209_MW89-4613_07_(000)_Compiler.csv",19.643411
"20220209","MW89-4613",7,"B7","Tributyltin Chloride",0.03,"uM","iNFA_20220209_MW89-4613_07_(000)_Compiler.csv",22.335915
"20220209","MW89-4613",7,"B8","Tributyltin Chloride",0.1,"uM","iNFA_20220209_MW89-4613_07_(000)_Compiler.csv",6.631864
"20220209","MW89-4613",7,"C1","Deltamethrin",0.03,"uM","iNFA_20220209_MW89-4613_07_(000)_Compiler.csv",15.083207
"20220209","MW89-4613",7,"C2","EtOH:DMSO",0,"uM","iNFA_20220209_MW89-4613_07_(000)_Compiler.csv",14.642398
"20220209","MW89-4613",7,"C3","Deltamethrin",0.1,"uM","iNFA_20220209_MW89-4613_07_(000)_Compiler.csv",18.277734
"20220209","MW89-4613",7,"C4","Deltamethrin",0.3,"uM","iNFA_20220209_MW89-4613_07_(000)_Compiler.csv",19.193484
"20220209","MW89-4613",7,"C5","Deltamethrin",1,"uM","iNFA_20220209_MW89-4613_07_(000)_Compiler.csv",16.951172
