"date","Plate.SN","well","DIV","trt","dose","units","file.name","meanfiringrate","burst.per.min","mean.isis","per.spikes.in.burst","mean.dur","mean.IBIs","nAE","nABE","ns.n","ns.peak.m","ns.durn.m","ns.percent.of.spikes.in.ns","ns.mean.insis","ns.durn.sd","ns.mean.spikes.in.ns","r","mi","wllq","wllq_notes"
"20160921","MW1159-40","A8",12,"Simvastatin",10,"uM","ON_20160921_MW1159-40_12_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","A8",5,"Simvastatin",10,"uM","ON_20160921_MW1159-40_05_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","A8",7,"Simvastatin",10,"uM","ON_20160921_MW1159-40_07_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","A8",9,"Simvastatin",10,"uM","ON_20160921_MW1159-40_09_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","B1",12,"Tributyltin chloride",20,"uM","ON_20160921_MW1159-40_12_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","B1",5,"Tributyltin chloride",20,"uM","ON_20160921_MW1159-40_05_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","B1",7,"Tributyltin chloride",20,"uM","ON_20160921_MW1159-40_07_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","B1",9,"Tributyltin chloride",20,"uM","ON_20160921_MW1159-40_09_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","B2",12,"Tributyltin chloride",0,"uM","ON_20160921_MW1159-40_12_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","B2",5,"Tributyltin chloride",0,"uM","ON_20160921_MW1159-40_05_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","B2",7,"Tributyltin chloride",0,"uM","ON_20160921_MW1159-40_07_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","B2",9,"Tributyltin chloride",0,"uM","ON_20160921_MW1159-40_09_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
