date,Plate.SN,DIV,well,trt,dose,units,file.name,Mutual Information
20140730,MW1007-104,07,E4,Glyphosate,1,uM,ON_20140730_MW1007-104_07_00_001.h5,0.00326840712159354
20140730,MW1007-104,07,E5,Glyphosate,3,uM,ON_20140730_MW1007-104_07_00_001.h5,0.000132938369978997
20140730,MW1007-104,07,E6,Glyphosate,10,uM,ON_20140730_MW1007-104_07_00_001.h5,3.73100036810126e-07
20140730,MW1007-104,07,E7,Glyphosate,30,uM,ON_20140730_MW1007-104_07_00_001.h5,0
20140730,MW1007-104,07,E8,Glyphosate,100,uM,ON_20140730_MW1007-104_07_00_001.h5,0.000823419112311358
20140730,MW1007-104,07,F1,Sodium Orthovanadate,0,uM,ON_20140730_MW1007-104_07_00_001.h5,0.000168287549931317
20140730,MW1007-104,07,F2,Sodium Orthovanadate,0.01,uM,ON_20140730_MW1007-104_07_00_001.h5,0.000889131844455616
20140730,MW1007-104,07,F3,Sodium Orthovanadate,0.03,uM,ON_20140730_MW1007-104_07_00_001.h5,0.00153236784110473
20140730,MW1007-104,07,F4,Sodium Orthovanadate,0.1,uM,ON_20140730_MW1007-104_07_00_001.h5,0.000575880664626852
20140730,MW1007-104,07,F5,Sodium Orthovanadate,0.3,uM,ON_20140730_MW1007-104_07_00_001.h5,0.0013637602547219
20140730,MW1007-104,07,F6,Sodium Orthovanadate,1,uM,ON_20140730_MW1007-104_07_00_001.h5,9.02380111656812e-05
20140730,MW1007-104,07,F7,Sodium Orthovanadate,3,uM,ON_20140730_MW1007-104_07_00_001.h5,0
20140730,MW1007-104,07,F8,Sodium Orthovanadate,10,uM,ON_20140730_MW1007-104_07_00_001.h5,0
20140730,MW1007-104,12,A1,Bisindolymaleimide 1,0,uM,ON_20140730_MW1007-104_12_00_001.h5,0.00847077646193084
20140730,MW1007-104,12,A2,Bisindolymaleimide 1,0.03,uM,ON_20140730_MW1007-104_12_00_001.h5,0.0125588172262855
20140730,MW1007-104,12,A3,Bisindolymaleimide 1,0.1,uM,ON_20140730_MW1007-104_12_00_001.h5,0.0121916552243986
20140730,MW1007-104,12,A4,Bisindolymaleimide 1,0.3,uM,ON_20140730_MW1007-104_12_00_001.h5,0.00415825202168931
20140730,MW1007-104,12,A5,Bisindolymaleimide 1,1,uM,ON_20140730_MW1007-104_12_00_001.h5,0.00113042260208703
20140730,MW1007-104,12,A6,Bisindolymaleimide 1,3,uM,ON_20140730_MW1007-104_12_00_001.h5,0
20140730,MW1007-104,12,A7,Bisindolymaleimide 1,10,uM,ON_20140730_MW1007-104_12_00_001.h5,0
20140730,MW1007-104,12,A8,Bisindolymaleimide 1,0,uM,ON_20140730_MW1007-104_12_00_001.h5,0.00149867844973556
20140730,MW1007-104,12,B1,Glyphosate,0,uM,ON_20140730_MW1007-104_12_00_001.h5,0.0123993581427555
20140730,MW1007-104,12,B2,Glyphosate,0.1,uM,ON_20140730_MW1007-104_12_00_001.h5,0.0190225185168356
20140730,MW1007-104,12,B3,Glyphosate,0.3,uM,ON_20140730_MW1007-104_12_00_001.h5,0.0137416007822337
20140730,MW1007-104,12,B4,Glyphosate,1,uM,ON_20140730_MW1007-104_12_00_001.h5,0.0120797547501213
20140730,MW1007-104,12,B5,Glyphosate,3,uM,ON_20140730_MW1007-104_12_00_001.h5,0.0144069602069245
20140730,MW1007-104,12,B6,Glyphosate,10,uM,ON_20140730_MW1007-104_12_00_001.h5,0.00681578424837732
20140730,MW1007-104,12,B7,Glyphosate,30,uM,ON_20140730_MW1007-104_12_00_001.h5,0.0136877712791109
20140730,MW1007-104,12,B8,Glyphosate,100,uM,ON_20140730_MW1007-104_12_00_001.h5,0
20140730,MW1007-104,12,C1,Sodium Orthovanadate,0,uM,ON_20140730_MW1007-104_12_00_001.h5,0.0260457462908734
20140730,MW1007-104,12,C2,Sodium Orthovanadate,0.01,uM,ON_20140730_MW1007-104_12_00_001.h5,0.0138848888804792
20140730,MW1007-104,12,C3,Sodium Orthovanadate,0.03,uM,ON_20140730_MW1007-104_12_00_001.h5,0.0174719093236136
20140730,MW1007-104,12,C4,Sodium Orthovanadate,0.1,uM,ON_20140730_MW1007-104_12_00_001.h5,0.0155120961328267
20140730,MW1007-104,12,C5,Sodium Orthovanadate,0.3,uM,ON_20140730_MW1007-104_12_00_001.h5,0.0193700296345265
20140730,MW1007-104,12,C6,Sodium Orthovanadate,1,uM,ON_20140730_MW1007-104_12_00_001.h5,0.0111439945703906
20140730,MW1007-104,12,C7,Sodium Orthovanadate,3,uM,ON_20140730_MW1007-104_12_00_001.h5,0.0147783889484732
20140730,MW1007-104,12,C8,Sodium Orthovanadate,10,uM,ON_20140730_MW1007-104_12_00_001.h5,0.00177515641758255
20140730,MW1007-104,12,D1,Bisindolymaleimide 1,0,uM,ON_20140730_MW1007-104_12_00_001.h5,0.0172850523380129
20140730,MW1007-104,12,D2,Bisindolymaleimide 1,0.03,uM,ON_20140730_MW1007-104_12_00_001.h5,0.0153520875098913
