"date","Plate.SN","well","treatment","dose","units","wllq_by_well","wllq_notes_by_well","meanfiringrate_auc","burst.per.min_auc","mean.isis_auc","per.spikes.in.burst_auc","mean.dur_auc","mean.IBIs_auc","nAE_auc","nABE_auc","ns.n_auc","ns.peak.m_auc","ns.durn.m_auc","ns.percent.of.spikes.in.ns_auc","ns.mean.insis_auc","ns.durn.sd_auc","ns.mean.spikes.in.ns_auc","r_auc","mi_auc"
"20211208","MW78-6303","A1","7126 E1","0.1001","uM","1","Hot water shut off in building; ",13.808413,22.572,0.654402,223.6685,4.995875,84.578875,53,32,33.5,53.678571,0.611504,10.308214,454.392788,0.118738,214.285714,0.138029,0.00343
"20211208","MW78-6304","B1","7126 E1","0.1001","uM","1","Hot water shut off in building; ",4.686007,6.579231,0.069278,58.031125,0.967375,55.274375,40.5,18,36,42.54386,0.56266,15.287234,797.170833,0.118427,183.035088,0.161547,0.004611
"20211208","MW78-6305","C1","7126 E1","0.1001","uM","1","Hot water shut off in building; ",11.474195,9.469,0.401845,261.952643,16.305071,66.297143,46,13,18.5,43.416667,0.548482,3.521443,1464.49375,0.165188,154.916667,0.104394,0.00131
"20211208","MW78-6307","D1","7126 E12","0.1001","uM","1","Hot water shut off in building; ",7.463487,9.898364,0.342225,134.657308,2.931167,131.902449,64,27,47.5,70.944444,0.777762,21.90478,856.850962,0.119619,449.638889,0.268662,0.012
"20211208","MW78-6308","E1","7126 E12","0.1001","uM","1","Hot water shut off in building; ",10.267525,21.157064,0.46635,235.441243,4.387843,141.624386,69.5,48,22,61.5,1.145112,8.731475,95.68125,0.077891,470.923077,0.202842,0.007182
"20211208","MW78-6306","F1","7126 E12","0.1001","uM","1","Hot water shut off in building; ",10.484206,17.303455,0.423905,259.2555,11.747429,185.765929,64,37.5,67.5,49.911905,0.83071,11.618547,309.190441,0.236504,202.509524,0.271338,0.007449
"20211208","MW78-6306","A1","7126 E7","0.1001","uM","1","Hot water shut off in building; ",17.499072,13.332321,0.548254,257.565531,17.162406,141.946719,85.5,40.5,76.5,19.852941,0.521402,16.475318,24.5385,0.146367,147.441176,0.369446,0.019512
"20211208","MW78-6307","B1","7126 E7","0.1001","uM","1","Hot water shut off in building; ",5.94571,14.7275,0.387016,161.18375,2.63075,60.491,27.5,11.5,10.5,21.642857,0.315777,5.695175,6.8625,0.088446,105.214286,0.062869,0.000712
"20211208","MW78-6308","C1","7126 E7","0.1001","uM","1","Hot water shut off in building; ",11.304483,18.285,0.443316,206.774517,5.88745,167.5889,68.5,41.5,50.5,59.138889,1.41425,16.19412,323.482051,0.246242,406.944444,0.35309,0.013073
"20211208","MW78-6307","A1","7126 E9","0.1001","uM","1","Hot water shut off in building; ",13.2993,16.976224,0.567059,188.990333,4.674104,114.073208,76.5,29,21,48.375,0.741997,2.562428,392.838333,0.391035,168.75,0.063282,0.000998
"20211208","MW78-6308","B1","7126 E9","0.1001","uM","1","Hot water shut off in building; ",18.689239,37.731161,0.507388,265.813693,9.401449,134.319213,97,67.5,149,56.703125,1.490431,8.021722,830.078158,0.227758,267.625,0.139163,0.010193
"20211208","MW78-6306","C1","7126 E9","0.1001","uM","1","Hot water shut off in building; ",10.246049,9.1075,0.66177,201.663857,4.564643,82.30675,57,25.5,35,55.25,0.565775,15.150534,736.471053,0.140656,295.05,0.249861,0.006345
"20220119","MW78-6312","A1","7126 F1","0.1001","uM","1","",1.039065,0.15,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0
"20220119","MW78-6313","B1","7126 F1","0.1001","uM","1","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20220119","MW78-6314","C1","7126 F1","0.1001","uM","1","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20220601","MW78-7219","D8","7126 F1","0.1001","uM","1","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20220601","MW78-7217","E8","7126 F1","0.1001","uM","1","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20220601","MW78-7218","F8","7126 F1","0.1001","uM","1","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20220119","MW78-6312","D1","7126 F4","0.1001","uM","1","",4.72663,6.084375,0.115894,331.796938,3.494781,237.269375,70,64,137,88.157195,1.358127,119.367892,842.177371,0.544687,520.056165,2.09802,0.047728
"20220119","MW78-6313","E1","7126 F4","0.1001","uM","1","",6.295484,6.399714,0.140567,281.842967,3.570744,232.899089,63.5,45,92.5,83.305556,1.07222,49.284329,1101.939898,0.345912,413.840909,1.195213,0.026974
"20220119","MW78-6314","F1","7126 F4","0.1001","uM","1","",9.203206,12.701827,0.431213,429.984946,9.591612,289.724165,64.5,45.5,82,79.285285,1.290846,58.326651,865.003125,0.514814,497.668168,1.428429,0.039504
"20220119","MW78-6314","D1","7126 F5","0.1001","uM","1","",8.574647,9.703125,0.303405,383.383302,7.447469,341.223313,90.5,70,91,91.726044,1.582394,46.578747,682.7,0.902932,694.595823,1.580592,0.056841
