"date","Plate.SN","rowi","coli","src_acsn","treatment","conc","rval","srcf","wllq_by_well","wllq_notes_by_well"
"20210915","MW75-9218",4,6,"AB","7126 A6",2.5025,25510.6666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",4,6,"LDH","7126 A6",2.5025,1.0978,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",4,7,"AB","7126 A6",7.5075,20566.6666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",4,7,"LDH","7126 A6",7.5075,0.9204,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",4,8,"AB","7126 A6",25.025,17215.6666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",4,8,"LDH","7126 A6",25.025,0.6156,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",5,1,"AB","7126 A4",0.000300096,21989.6666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",5,1,"LDH","7126 A4",0.000300096,0.7682,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",5,2,"AB","7126 A4",0,24152.6666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",5,2,"LDH","7126 A4",0,1.0032,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",5,3,"AB","7126 A4",0.00100032,25082.6666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",5,3,"LDH","7126 A4",0.00100032,1.0707,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",5,4,"AB","7126 A4",0.00300096,26410.6666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",5,4,"LDH","7126 A4",0.00300096,1.0066,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",5,5,"AB","7126 A4",0.0100032,22351.6666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",5,5,"LDH","7126 A4",0.0100032,0.645,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",5,6,"AB","7126 A4",0.0300096,17080.6666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",5,6,"LDH","7126 A4",0.0300096,0.2076,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",5,7,"AB","7126 A4",0.100032,13888.6666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",5,7,"LDH","7126 A4",0.100032,0.1482,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",5,8,"AB","7126 A4",0.300096,8831.66666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",5,8,"LDH","7126 A4",0.300096,0.0788,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",6,1,"AB","7126 A5",0.100213,18958.6666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",6,1,"LDH","7126 A5",0.100213,0.6732,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",6,2,"AB","7126 A5",0,21115.6666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",6,2,"LDH","7126 A5",0,0.8957,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",6,3,"AB","7126 A5",0.300639,21802.6666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",6,3,"LDH","7126 A5",0.300639,0.8301,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",6,4,"AB","7126 A5",1.00213,21553.6666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",6,4,"LDH","7126 A5",1.00213,0.8408,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",6,5,"AB","7126 A5",3.00639,24271.6666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
