"date","Plate.SN","well","treatment","dose","units","wllq","wllq_notes","CCTE_Shafer_MEA_dev_firing_rate_mean","CCTE_Shafer_MEA_dev_burst_rate","CCTE_Shafer_MEA_dev_per_burst_interspike_interval","CCTE_Shafer_MEA_dev_per_burst_spike_percent","CCTE_Shafer_MEA_dev_burst_duration_mean","CCTE_Shafer_MEA_dev_interburst_interval_mean","CCTE_Shafer_MEA_dev_active_electrodes_number","CCTE_Shafer_MEA_dev_bursting_electrodes_number","CCTE_Shafer_MEA_dev_network_spike_number","CCTE_Shafer_MEA_dev_network_spike_peak","CCTE_Shafer_MEA_dev_spike_duration_mean","CCTE_Shafer_MEA_dev_per_network_spike_spike_percent","CCTE_Shafer_MEA_dev_inter_network_spike_interval_mean","CCTE_Shafer_MEA_dev_network_spike_duration_std","CCTE_Shafer_MEA_dev_per_network_spike_spike_number_mean","CCTE_Shafer_MEA_dev_correlation_coefficient_mean","CCTE_Shafer_MEA_dev_mutual_information_norm"
"20180801","MW1207-21","B3","1475816","0.10000","uM","0","Fungal contamination; ",5.903471,9.818365,0.406162,253.763122,4.143719,219.648511,64.5,53.5,139.5,25.259041,0.858442,19.773688,116.58311,0.372073,89.939858,0.165825,0.005411
"20180801","MW1207-22","B3","1475816","0.10000","uM","1","",2.247309,6.325909,0.253881,419.086571,2.403018,314.396982,52.5,37.5,74.5,22.886364,0.658134,38.180813,282.83941,0.154856,96.886364,0.208423,0.002535
"20180801","MW1207-23","B3","1475816","0.10000","uM","1","",7.450661,13.860256,0.28814,262.25729,2.842803,307.846274,52.5,45.5,103,23.15625,0.693503,25.730877,163.023171,0.291369,104.21875,0.175755,0.004519
"20180801","MW1207-21","C3","1475817","0.10000","uM","0","Fungal contamination; ",7.105842,11.26075,0.456362,263.610429,4.757179,218.868929,48.5,40.5,74,29.9375,0.739241,23.820201,297.1,0.26414,121.395833,0.230437,0.005337
"20180801","MW1207-22","C3","1475817","0.10000","uM","1","",2.648612,4.996625,0.278487,248.245615,2.177038,391.380038,56.5,36,68.5,31.726891,0.811347,21.379719,361.677652,0.26532,82.960084,0.199409,0.002311
"20180801","MW1207-23","C3","1475817","0.10000","uM","1","",7.678788,8.264856,0.305767,349.151155,8.350244,334.000571,66.5,59.5,116.5,42.989899,1.281604,33.411721,632.35566,0.405651,203.755051,0.286437,0.009437
"20180801","MW1207-21","D3","1475818","0.10000","uM","0","Fungal contamination; ",6.835316,9.687,0.271598,255.085513,3.071075,322.542825,57.5,49,88,45.125874,1.275027,18.09762,239.218421,0.313535,178.496503,0.271387,0.006235
"20180801","MW1207-22","D3","1475818","0.10000","uM","1","",3.462497,4.6725,0.128141,261.78475,2.053375,263.85625,37,33,66,35.340996,0.780321,53.515524,266.389732,0.153535,152.775862,0.565327,0.008125
"20180801","MW1207-23","D3","1475818","0.10000","uM","1","",5.300798,7.863231,0.280688,206.293071,2.7789,328.971229,63,42,82,34.013158,0.762171,20.740094,245.866366,0.227338,153.157895,0.204754,0.006937
"20180801","MW1207-21","E3","1475820","0.10000","uM","0","Fungal contamination; ",7.333352,12.357716,0.40952,243.20575,4.373479,215.509809,61.5,48.5,110.5,42.884358,1.024772,15.216561,158.343496,0.31889,125.425134,0.155444,0.004483
"20180801","MW1207-22","E3","1475820","0.10000","uM","1","",4.814507,5.156693,0.277495,265.84724,2.680406,321.095427,66.5,41,114,23.568627,0.761193,31.709144,172.223786,0.188514,95.960784,0.255151,0.004591
"20180801","MW1207-23","E3","1475820","0.10000","uM","1","",4.54856,5.686875,0.140076,184.2636,2.178825,251.611725,60,42.5,127,24.216117,0.740236,19.332315,185.154032,0.22093,93.749084,0.168663,0.005237
"20180801","MW1207-21","F3","1475823","0.10000","uM","0","Fungal contamination; ",6.494842,7.296136,0.261264,275.706243,3.927024,437.920389,64.5,51,106.5,53.770909,1.148337,31.637427,955.696939,0.440258,198.41,0.390355,0.009955
"20180801","MW1207-22","F3","1475823","0.10000","uM","1","",9.836788,14.759196,0.420006,256.787504,9.484563,179.095097,73,57.5,134,55.511521,1.249405,26.402574,834.340686,0.474162,197.26129,0.304566,0.011164
"20180801","MW1207-23","F3","1475823","0.10000","uM","1","",6.216608,9.778125,0.188083,204.914123,2.858695,159.77075,70,48.5,103,41.75,0.954383,22.658965,243.377614,0.313216,200.403846,0.372432,0.013856
"20180815","MW1207-24","A3","1475827","0.10000","uM","1","",15.332987,27.128239,0.815018,260.26635,14.053375,132.000225,66,45,145.5,40.681034,0.587013,11.659517,348.136337,0.303958,107.554598,0.214796,0.004622
