"date","plate.SN","well","treatment","dose","units","NHEERL_MEA_dev_firing_rate_mean","NHEERL_MEA_dev_burst_rate","NHEERL_MEA_dev_per_burst_interspike_interval","NHEERL_MEA_dev_per_burst_spike_percent","NHEERL_MEA_dev_burst_duration_mean","NHEERL_MEA_dev_interburst_interval_mean","NHEERL_MEA_dev_active_electrodes_number","NHEERL_MEA_dev_bursting_electrodes_number","NHEERL_MEA_dev_network_spike_number","NHEERL_MEA_dev_network_spike_peak","NHEERL_MEA_dev_spike_duration_mean","NHEERL_MEA_dev_per_network_spike_spike_percent","NHEERL_MEA_dev_per_network_spike_interspike_interval_mean","NHEERL_MEA_dev_network_spike_duration_std","NHEERL_MEA_dev_per_network_spike_spike_number_mean","NHEERL_MEA_dev_correlation_coefficient_mean","NHEERL_MEA_dev_mutual_information_norm"
"20140212","MW1007-27","B7","Bisindolymaleimide 1","10.00000","uM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20140402","MW1007-27","B7","Bisindolymaleimide 1","10.00000","uM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20140423","MW1007-38","B7","Bisindolymaleimide 1","10.00000","uM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20140716","MW1007-26","B8","Bisindolymaleimide 1","10.00000","uM",1.71534,0.15,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0
"20140730","MW1007-104","D7","Bisindolymaleimide 1","10.00000","uM",0.325165,0.668182,0.080622,37.474375,1.165556,142.660556,6.875,5.625,17.5,25.089286,0.329537,13.977143,76.212963,0.082812,105.267857,0.126841,0
"20140716","MW1007-26","E8","Bisindolymaleimide 1","10.00000","uM",4.714482,10.184727,0.132896,230.770115,1.676594,180.557479,54,42,517.5,52.234337,0.73073,121.332947,415.873579,0.209993,173.206424,1.008467,0.024341
"20140716","MW1007-26","A6","Glyphosate","10.00000","uM",2.542635,5.475,0.160279,148.605107,1.288464,120.8305,30.5,15.5,436,26.717153,0.375802,75.835127,234.136264,0.112178,57.248175,0.596898,0.013849
"20140730","MW1007-104","B6","Glyphosate","10.00000","uM",2.515809,8.604902,0.202286,404.058144,1.608244,222.646167,49.5,40.5,127.75,52.15173,0.850312,98.222365,180.402404,0.126411,153.869235,1.311638,0.010694
"20140716","MW1007-26","D6","Glyphosate","10.00000","uM",3.015835,9.635227,0.183106,462.501045,1.699386,307.605227,51.5,45.5,162,47.47619,0.57078,140.079029,103.292556,0.10557,202.539683,1.796335,0.026093
"20140730","MW1007-104","E6","Glyphosate","10.00000","uM",3.307057,6.811364,0.259699,346.502075,2.7127,257.8443,48.5,39.5,107.75,43.598577,0.590429,82.497054,187.100048,0.172845,163.363482,1.108563,0.012438
"20140205","MW1007-26","D6","Loperamide","10.00000","uM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20140212","MW1007-27","D6","Loperamide","10.00000","uM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20140402","MW1007-27","D6","Loperamide","10.00000","uM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20140423","MW1007-38","D6","Loperamide","10.00000","uM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20140205","MW1007-26","E6","Mevastatin","10.00000","uM",16.687483,0.075,0,0,0,0,7,0,0,0,0,0,0,0,0,0.011977,0
"20140212","MW1007-27","E6","Mevastatin","10.00000","uM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20140402","MW1007-27","E6","Mevastatin","10.00000","uM",2.408801,3.06,0.217696,18.3105,1.026,39.267,1.5,1.5,0,0,0,0,0,0,0,0,0
"20140423","MW1007-38","E6","Mevastatin","10.00000","uM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20140730","MW1007-104","C8","Sodium Orthovanadate","10.00000","uM",8.839186,25.312523,0.551301,483.825494,24.631017,265.692165,42.583333,34.416667,62.583333,34.482768,0.550699,22.454785,299.080519,0.144961,125.890446,0.424178,0.002664
"20140716","MW1007-26","C8","Sodium Orthovanadate","10.00000","uM",8.798376,15.736071,0.427816,162.509167,3.6145,46.027333,49.5,21,430,35.026786,0.423681,36.518551,452.150269,0.103791,91.778571,0.338688,0.016374
