date,Plate.SN,DIV,well,trt,dose,units,file.name,Mutual Information
20190710,MW69-0213,05,D1,Loperamide,0.03,uM,NFA_20190710_MW69-0213_05_00(000).h5,0
20190710,MW69-0213,05,D2,Loperamide,0,uM,NFA_20190710_MW69-0213_05_00(000).h5,0
20190710,MW69-0213,05,D3,Loperamide,0.1,uM,NFA_20190710_MW69-0213_05_00(000).h5,0
20190710,MW69-0213,05,D4,Loperamide,0.3,uM,NFA_20190710_MW69-0213_05_00(000).h5,0
20190710,MW69-0213,05,D5,Loperamide,1,uM,NFA_20190710_MW69-0213_05_00(000).h5,0
20190710,MW69-0213,05,D6,Loperamide,3,uM,NFA_20190710_MW69-0213_05_00(000).h5,0
20190710,MW69-0213,05,D7,Loperamide,10,uM,NFA_20190710_MW69-0213_05_00(000).h5,0
20190710,MW69-0213,05,D8,Loperamide,30,uM,NFA_20190710_MW69-0213_05_00(000).h5,0
20190710,MW69-0213,05,E1,3 Glufosinate-P Technical,0.03,uM,NFA_20190710_MW69-0213_05_00(000).h5,0
20190710,MW69-0213,05,E2,3 Glufosinate-P Technical,0,uM,NFA_20190710_MW69-0213_05_00(000).h5,0
20190710,MW69-0213,05,E3,3 Glufosinate-P Technical,0.1,uM,NFA_20190710_MW69-0213_05_00(000).h5,0
20190710,MW69-0213,05,E4,3 Glufosinate-P Technical,0.3,uM,NFA_20190710_MW69-0213_05_00(000).h5,0
20190710,MW69-0213,05,E5,3 Glufosinate-P Technical,1,uM,NFA_20190710_MW69-0213_05_00(000).h5,0
20190710,MW69-0213,05,E6,3 Glufosinate-P Technical,3,uM,NFA_20190710_MW69-0213_05_00(000).h5,0
20190710,MW69-0213,05,E7,3 Glufosinate-P Technical,10,uM,NFA_20190710_MW69-0213_05_00(000).h5,0
20190710,MW69-0213,05,E8,3 Glufosinate-P Technical,30,uM,NFA_20190710_MW69-0213_05_00(000).h5,0
20190710,MW69-0213,05,F1,4 Glufosinate-P Technical,0.03,uM,NFA_20190710_MW69-0213_05_00(000).h5,0
20190710,MW69-0213,05,F2,4 Glufosinate-P Technical,0,uM,NFA_20190710_MW69-0213_05_00(000).h5,0
20190710,MW69-0213,05,F3,4 Glufosinate-P Technical,0.1,uM,NFA_20190710_MW69-0213_05_00(000).h5,0
20190710,MW69-0213,05,F4,4 Glufosinate-P Technical,0.3,uM,NFA_20190710_MW69-0213_05_00(000).h5,1.03523312414144e-06
20190710,MW69-0213,05,F5,4 Glufosinate-P Technical,1,uM,NFA_20190710_MW69-0213_05_00(000).h5,0
20190710,MW69-0213,05,F6,4 Glufosinate-P Technical,3,uM,NFA_20190710_MW69-0213_05_00(000).h5,0
20190710,MW69-0213,05,F7,4 Glufosinate-P Technical,10,uM,NFA_20190710_MW69-0213_05_00(000).h5,0
20190710,MW69-0213,05,F8,4 Glufosinate-P Technical,30,uM,NFA_20190710_MW69-0213_05_00(000).h5,0
20190710,MW69-0213,07,A1,L-Glufosinate Ammonium,0.03,uM,NFA_20190710_MW69-0213_07_00(000).h5,1.07870412880684e-05
20190710,MW69-0213,07,A2,L-Glufosinate Ammonium,0,uM,NFA_20190710_MW69-0213_07_00(000).h5,0
20190710,MW69-0213,07,A3,L-Glufosinate Ammonium,0.1,uM,NFA_20190710_MW69-0213_07_00(000).h5,8.43077099521583e-07
20190710,MW69-0213,07,A4,L-Glufosinate Ammonium,0.3,uM,NFA_20190710_MW69-0213_07_00(000).h5,5.59551134187881e-05
20190710,MW69-0213,07,A5,L-Glufosinate Ammonium,1,uM,NFA_20190710_MW69-0213_07_00(000).h5,9.78304811894981e-05
20190710,MW69-0213,07,A6,L-Glufosinate Ammonium,3,uM,NFA_20190710_MW69-0213_07_00(000).h5,3.27483405536955e-05
20190710,MW69-0213,07,A7,L-Glufosinate Ammonium,10,uM,NFA_20190710_MW69-0213_07_00(000).h5,2.95317932270944e-06
