"date","Plate.SN","well","treatment","dose","units","wllq","wllq_notes","meanfiringrate_auc","burst.per.min_auc","mean.isis_auc","per.spikes.in.burst_auc","mean.dur_auc","mean.IBIs_auc","nAE_auc","nABE_auc","ns.n_auc","ns.peak.m_auc","ns.durn.m_auc","ns.percent.of.spikes.in.ns_auc","ns.mean.insis_auc","ns.durn.sd_auc","ns.mean.spikes.in.ns_auc","r_auc","mi_auc"
"20160217","MW1105-26","F2","Naled","30.00000","uM","1","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20160217","MW1105-20","F8","Naled","30.00000","uM","1","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20160120","MW1092-6","F1","Omethoate","30.00000","uM","1","",8.993179,20.123125,0.185117,402.37926,2.96026,191.575313,81.5,73.5,446.5,74.173807,1.126727,69.738053,212.94524,0.382307,284.832278,1.236218,0.044548
"20160120","MW1092-29","F2","Omethoate","30.00000","uM","1","",9.790486,21.37375,0.191255,461.122862,2.673356,165.166125,93,84,603,72.965782,0.990871,114.922006,106.272834,0.545336,239.661131,1.744741,0.059252
"20160120","MW1092-5","F8","Omethoate","30.00000","uM","1","",9.962163,18.520125,0.275519,349.857462,3.858888,207.463081,89,74,324.5,70.984524,1.442288,41.322266,187.730619,0.697845,167.994913,0.73028,0.020592
"20160413","MW1125-4","B1","Phorate","30.00000","uM","1","",13.537932,31.774018,0.385219,500.891406,3.956012,119.622719,104.5,86.5,664.5,79.319519,1.165517,101.992394,87.638159,0.526635,288.78387,1.67536,0.068611
"20160413","MW1125-5","B2","Phorate","30.00000","uM","1","",18.338855,42.156994,0.354239,555.043436,4.10993,122.233985,112,94.5,956,78.767311,1.230843,83.372332,64.206635,0.595844,233.168395,1.627711,0.088907
"20160413","MW1125-3","B8","Phorate","30.00000","uM","1","",6.360132,17.601994,0.152543,399.009492,1.715017,169.140408,82,62.5,460,63.754724,0.828587,127.687326,110.967504,0.274647,225.256236,1.44895,0.036976
"20160120","MW1092-6","E1","Phosmet","30.00000","uM","1","",7.636017,12.6225,0.395022,106.121036,3.346893,148.390357,37,26,45.5,38.222222,0.556861,14.496196,884.315385,0.052827,158.111111,0.161974,0.005842
"20160120","MW1092-29","E2","Phosmet","30.00000","uM","1","",10.708147,19.55675,0.525079,328.983723,4.281366,138.904723,74,61,433,51.864522,0.657899,63.971706,81.399328,0.368088,231.565525,1.184944,0.045185
"20160120","MW1092-5","E8","Phosmet","30.00000","uM","1","",9.25578,14.727143,0.488772,273.663634,4.357509,174.058223,73,45,209.5,44.720133,0.81928,39.707408,138.613095,0.457405,205.418418,0.547155,0.01796
"20160217","MW1105-23","C1","Pirimiphos-methyl","30.00000","uM","1","",8.566221,12.434489,0.390504,173.425687,4.080344,283.684406,57.5,36,136.5,43.396199,0.566384,18.505987,273.942625,0.15041,120.423246,0.239208,0.007891
"20160217","MW1105-26","C2","Pirimiphos-methyl","30.00000","uM","1","",11.668346,10.205625,0.356572,129.8646,10.9741,126.8143,62,35,138,40.272358,0.659554,9.381936,314.794444,0.188423,98.300813,0.147408,0.005959
"20160217","MW1105-20","C8","Pirimiphos-methyl","30.00000","uM","1","",14.807184,17.441591,0.553676,273.725911,19.515696,212.823857,59.5,39.5,318,37.1489,0.717106,13.00479,220.153699,0.236432,78.01128,0.222445,0.007373
"20160120","MW1092-6","D1","Tebupirimfos","30.00000","uM","1","",13.172114,30.099375,0.163139,468.081102,2.67796,152.034832,95.5,86,869,73.579361,0.947738,123.643755,89.170558,0.421507,249.374104,1.896515,0.087259
"20160120","MW1092-29","D2","Tebupirimfos","30.00000","uM","1","",10.695854,22.2625,0.350423,496.415385,3.510792,342.16225,87.5,78.5,536.5,69.700172,1.177839,114.488689,118.835725,0.594885,274.3255,1.776717,0.074296
"20160120","MW1092-5","D8","Tebupirimfos","30.00000","uM","1","",7.671889,20.543011,0.140112,463.448795,2.039056,163.174316,86,82,497.5,75.928397,1.241092,119.021279,130.657259,0.473383,308.259792,1.818848,0.063382
"20160217","MW1105-23","D1","Terbufos","30.00000","uM","1","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20160217","MW1105-26","D2","Terbufos","30.00000","uM","1","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20160217","MW1105-20","D8","Terbufos","30.00000","uM","1","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20160413","MW1125-4","C1","Tribufos","30.00000","uM","1","",10.257636,23.52125,0.457687,405.158096,3.818635,180.640371,100.5,74,666.5,52.282866,0.686651,82.258988,54.729257,0.285614,205.89837,1.021225,0.042755
