spid,treatment,aenm,max_med,coff,sc_hit,sc_pos,hit_count
1210313710,3361 E05,CCTE_Shafer_MEA_dev_mutual_information_norm_up,-80.90715572,118.434,0,1,3
1210313710,3361 E05,CCTE_Shafer_MEA_dev_network_spike_peak_DIV12_dn,19.48711596,26.6127,0,1,3
1210313710,3361 E05,CCTE_Shafer_MEA_dev_network_spike_peak_dn,49.88338204,53.0434,0,1,3
1210313710,3361 E05,CCTE_Shafer_MEA_dev_per_burst_interspike_interval_DIV12_dn,-99.03530722,52.8475,0,1,3
1210313710,3361 E05,CCTE_Shafer_MEA_dev_per_network_spike_spike_number_mean_DIV12_up,-12.79714028,63.308,0,1,3
1210314365,3360 D03,CCTE_Shafer_MEA_dev_bursting_electrodes_number_dn,85.71428571,47.0176,1,1,3
1210314365,3360 D03,CCTE_Shafer_MEA_dev_firing_rate_mean_DIV12_dn,64.48805777,55.5246,1,1,3
1210314365,3360 D03,CCTE_Shafer_MEA_dev_per_network_spike_spike_number_mean_DIV12_up,66.51035774,63.308,1,1,3
1210314365,3360 D03,CCTE_Shafer_MEA_dev_AB_dn,-8.206236197,30,0,1,3
1210314365,3360 D03,CCTE_Shafer_MEA_dev_LDH_dn,12.12765957,30,0,1,3
1210314365,3360 D03,CCTE_Shafer_MEA_dev_inter_network_spike_interval_mean_up,60.30469178,472.59,0,1,3
1210314365,3360 D03,CCTE_Shafer_MEA_dev_mutual_information_norm_up,-39.59379353,118.434,0,1,3
1210314365,3360 D03,CCTE_Shafer_MEA_dev_network_spike_peak_DIV12_dn,-22.46520875,26.6127,0,1,3
1210314365,3360 D03,CCTE_Shafer_MEA_dev_network_spike_peak_dn,-7.387230509,53.0434,0,1,3
1210314365,3360 D03,CCTE_Shafer_MEA_dev_per_burst_interspike_interval_DIV12_dn,21.60036547,52.8475,0,1,3
1210314365,3360 D03,CCTE_Shafer_MEA_dev_per_burst_interspike_interval_DIV12_up,-21.60036547,68.4416,0,1,3
1210314371,3360 B04,CCTE_Shafer_MEA_dev_LDH_dn,40.93994016,30,1,1,3
1210314371,3360 B04,CCTE_Shafer_MEA_dev_bursting_electrodes_number_dn,55.95238095,47.0176,1,1,3
1210314371,3360 B04,CCTE_Shafer_MEA_dev_firing_rate_mean_DIV12_dn,67.07399864,55.5246,1,1,3
1210314371,3360 B04,CCTE_Shafer_MEA_dev_AB_dn,4.125663552,30,0,1,3
1210314371,3360 B04,CCTE_Shafer_MEA_dev_inter_network_spike_interval_mean_up,47.61033624,472.59,0,1,3
1210314371,3360 B04,CCTE_Shafer_MEA_dev_mutual_information_norm_up,-65.9551035,118.434,0,1,3
1210314371,3360 B04,CCTE_Shafer_MEA_dev_network_spike_peak_DIV12_dn,19.85732663,26.6127,0,1,3
1210314371,3360 B04,CCTE_Shafer_MEA_dev_network_spike_peak_dn,-1.020983255,53.0434,0,1,3
1210314371,3360 B04,CCTE_Shafer_MEA_dev_per_burst_interspike_interval_DIV12_dn,33.81772011,52.8475,0,1,3
1210314371,3360 B04,CCTE_Shafer_MEA_dev_per_burst_interspike_interval_DIV12_up,-33.81772011,68.4416,0,1,3
1210314371,3360 B04,CCTE_Shafer_MEA_dev_per_network_spike_spike_number_mean_DIV12_up,-29.98534256,63.308,0,1,3
1210314401,3360 H07,CCTE_Shafer_MEA_dev_LDH_dn,49.47769729,30,1,1,3
1210314401,3360 H07,CCTE_Shafer_MEA_dev_bursting_electrodes_number_dn,90.83969466,47.0176,1,1,3
1210314401,3360 H07,CCTE_Shafer_MEA_dev_per_burst_interspike_interval_DIV12_up,182.1636719,68.4416,1,1,3
1210314401,3360 H07,CCTE_Shafer_MEA_dev_AB_dn,19.06761353,30,0,1,3
1210314401,3360 H07,CCTE_Shafer_MEA_dev_firing_rate_mean_DIV12_dn,-4.968601031,55.5246,0,1,3
1210314401,3360 H07,CCTE_Shafer_MEA_dev_inter_network_spike_interval_mean_up,-21.69166648,472.59,0,1,3
1210314401,3360 H07,CCTE_Shafer_MEA_dev_mutual_information_norm_up,-98.63179296,118.434,0,1,3
1210314401,3360 H07,CCTE_Shafer_MEA_dev_network_spike_peak_DIV12_dn,-0.492866407,26.6127,0,1,3
1210314401,3360 H07,CCTE_Shafer_MEA_dev_network_spike_peak_dn,38.25996315,53.0434,0,1,3
1210314401,3360 H07,CCTE_Shafer_MEA_dev_per_burst_interspike_interval_DIV12_dn,-182.1636719,52.8475,0,1,3
1210314401,3360 H07,CCTE_Shafer_MEA_dev_per_network_spike_spike_number_mean_DIV12_up,-17.51274837,63.308,0,1,3
1210314437,3360 D12,CCTE_Shafer_MEA_dev_bursting_electrodes_number_dn,47.30538922,47.0176,1,1,3
1210314437,3360 D12,CCTE_Shafer_MEA_dev_per_burst_interspike_interval_DIV12_up,131.466852,68.4416,1,1,3
1210314437,3360 D12,CCTE_Shafer_MEA_dev_per_network_spike_spike_number_mean_DIV12_up,103.1822818,63.308,1,1,3
1210314437,3360 D12,CCTE_Shafer_MEA_dev_AB_dn,5.046015745,30,0,1,3
1210314437,3360 D12,CCTE_Shafer_MEA_dev_LDH_dn,5.473254032,30,0,1,3
1210314437,3360 D12,CCTE_Shafer_MEA_dev_firing_rate_mean_DIV12_dn,-43.24507807,55.5246,0,1,3
1210314437,3360 D12,CCTE_Shafer_MEA_dev_inter_network_spike_interval_mean_up,51.29693231,472.59,0,1,3
1210314437,3360 D12,CCTE_Shafer_MEA_dev_mutual_information_norm_up,-57.15072398,118.434,0,1,3
1210314437,3360 D12,CCTE_Shafer_MEA_dev_network_spike_peak_DIV12_dn,-22.46520875,26.6127,0,1,3
1210314437,3360 D12,CCTE_Shafer_MEA_dev_network_spike_peak_dn,-7.387230509,53.0434,0,1,3
1210314437,3360 D12,CCTE_Shafer_MEA_dev_per_burst_interspike_interval_DIV12_dn,-131.466852,52.8475,0,1,3
Bisphenol,Bisphenol,CCTE_Shafer_MEA_dev_bursting_electrodes_number_dn,95.20958084,47.0176,1,1,3
Bisphenol,Bisphenol,CCTE_Shafer_MEA_dev_firing_rate_mean_DIV12_dn,65.20836142,55.5246,1,1,3
Bisphenol,Bisphenol,CCTE_Shafer_MEA_dev_network_spike_peak_dn,63.44229329,53.0434,1,1,3
Bisphenol,Bisphenol,CCTE_Shafer_MEA_dev_AB_dn,15.20202304,30,0,1,3
Bisphenol,Bisphenol,CCTE_Shafer_MEA_dev_LDH_dn,13.93126572,30,0,1,3
Bisphenol,Bisphenol,CCTE_Shafer_MEA_dev_inter_network_spike_interval_mean_up,-78.20631007,472.59,0,1,3
Bisphenol,Bisphenol,CCTE_Shafer_MEA_dev_mutual_information_norm_up,-100,118.434,0,1,3
Bisphenol,Bisphenol,CCTE_Shafer_MEA_dev_network_spike_peak_DIV12_dn,-2.690437601,26.6127,0,1,3
Bisphenol,Bisphenol,CCTE_Shafer_MEA_dev_per_burst_interspike_interval_DIV12_dn,14.44337415,52.8475,0,1,3
Bisphenol,Bisphenol,CCTE_Shafer_MEA_dev_per_burst_interspike_interval_DIV12_up,-14.44337415,68.4416,0,1,3
Bisphenol,Bisphenol,CCTE_Shafer_MEA_dev_per_network_spike_spike_number_mean_DIV12_up,-37.96296296,63.308,0,1,3
1208990392,3612 F01,CCTE_Shafer_MEA_dev_bursting_electrodes_number_dn,82.60869565,47.0176,1,1,2
1208990392,3612 F01,CCTE_Shafer_MEA_dev_per_burst_interspike_interval_DIV12_up,244.5422867,68.4416,1,1,2
1208990392,3612 F01,CCTE_Shafer_MEA_dev_AB_dn,10.7267375,30,0,1,2
1208990392,3612 F01,CCTE_Shafer_MEA_dev_LDH_dn,7.041990087,30,0,1,2
1208990392,3612 F01,CCTE_Shafer_MEA_dev_firing_rate_mean_DIV12_dn,27.44576417,55.5246,0,1,2
1208990392,3612 F01,CCTE_Shafer_MEA_dev_inter_network_spike_interval_mean_up,52.96610273,472.59,0,1,2
1208990392,3612 F01,CCTE_Shafer_MEA_dev_mutual_information_norm_up,-85.54325572,118.434,0,1,2
1208990392,3612 F01,CCTE_Shafer_MEA_dev_network_spike_peak_DIV12_dn,-3.010033445,26.6127,0,1,2
1208990392,3612 F01,CCTE_Shafer_MEA_dev_network_spike_peak_dn,-25.27027061,53.0434,0,1,2
1208990392,3612 F01,CCTE_Shafer_MEA_dev_per_burst_interspike_interval_DIV12_dn,-244.5422867,52.8475,0,1,2
1208990392,3612 F01,CCTE_Shafer_MEA_dev_per_network_spike_spike_number_mean_DIV12_up,16.42043443,63.308,0,1,2
1208990406,3612 D03,CCTE_Shafer_MEA_dev_LDH_dn,61.15349804,30,1,1,2
1208990406,3612 D03,CCTE_Shafer_MEA_dev_bursting_electrodes_number_dn,78.94736842,47.0176,1,1,2
1208990406,3612 D03,CCTE_Shafer_MEA_dev_AB_dn,21.83123948,30,0,1,2
1208990406,3612 D03,CCTE_Shafer_MEA_dev_firing_rate_mean_DIV12_dn,-29.64837185,55.5246,0,1,2
1208990406,3612 D03,CCTE_Shafer_MEA_dev_inter_network_spike_interval_mean_up,2.248604897,472.59,0,1,2
1208990406,3612 D03,CCTE_Shafer_MEA_dev_mutual_information_norm_up,-90.18447616,118.434,0,1,2
1208990406,3612 D03,CCTE_Shafer_MEA_dev_network_spike_peak_DIV12_dn,1.013727593,26.6127,0,1,2
1208990406,3612 D03,CCTE_Shafer_MEA_dev_network_spike_peak_dn,26.4080102,53.0434,0,1,2
1208990406,3612 D03,CCTE_Shafer_MEA_dev_per_burst_interspike_interval_DIV12_dn,1.903662204,52.8475,0,1,2
1208990406,3612 D03,CCTE_Shafer_MEA_dev_per_burst_interspike_interval_DIV12_up,-1.903662204,68.4416,0,1,2
1208990406,3612 D03,CCTE_Shafer_MEA_dev_per_network_spike_spike_number_mean_DIV12_up,4.590620066,63.308,0,1,2
1208990420,3612 B05,CCTE_Shafer_MEA_dev_bursting_electrodes_number_dn,65.11627907,47.0176,1,1,2
1208990420,3612 B05,CCTE_Shafer_MEA_dev_firing_rate_mean_DIV12_dn,66.30744666,55.5246,1,1,2
1208990420,3612 B05,CCTE_Shafer_MEA_dev_AB_dn,6.88301351,30,0,1,2
1208990420,3612 B05,CCTE_Shafer_MEA_dev_LDH_dn,8.833450622,30,0,1,2
1208990420,3612 B05,CCTE_Shafer_MEA_dev_inter_network_spike_interval_mean_up,-17.91632003,472.59,0,1,2
1208990420,3612 B05,CCTE_Shafer_MEA_dev_mutual_information_norm_up,-37.03764351,118.434,0,1,2
1208990420,3612 B05,CCTE_Shafer_MEA_dev_network_spike_peak_DIV12_dn,4.91626148,26.6127,0,1,2
1208990420,3612 B05,CCTE_Shafer_MEA_dev_network_spike_peak_dn,24.33568998,53.0434,0,1,2
1208990420,3612 B05,CCTE_Shafer_MEA_dev_per_burst_interspike_interval_DIV12_dn,11.0413806,52.8475,0,1,2
1208990420,3612 B05,CCTE_Shafer_MEA_dev_per_burst_interspike_interval_DIV12_up,-11.0413806,68.4416,0,1,2
1208990420,3612 B05,CCTE_Shafer_MEA_dev_per_network_spike_spike_number_mean_DIV12_up,-11.20162244,63.308,0,1,2
1210313689,3361 H02,CCTE_Shafer_MEA_dev_LDH_dn,45.09560867,30,1,1,2
1210313689,3361 H02,CCTE_Shafer_MEA_dev_bursting_electrodes_number_dn,94.28571429,47.0176,1,1,2
1210313689,3361 H02,CCTE_Shafer_MEA_dev_AB_dn,2.02821435,30,0,1,2
1210313689,3361 H02,CCTE_Shafer_MEA_dev_firing_rate_mean_DIV12_dn,47.01826539,55.5246,0,1,2
1210313689,3361 H02,CCTE_Shafer_MEA_dev_inter_network_spike_interval_mean_up,-23.96691939,472.59,0,1,2
1210313689,3361 H02,CCTE_Shafer_MEA_dev_mutual_information_norm_up,-100,118.434,0,1,2
1210313689,3361 H02,CCTE_Shafer_MEA_dev_network_spike_peak_DIV12_dn,-4.395604396,26.6127,0,1,2
1210313689,3361 H02,CCTE_Shafer_MEA_dev_network_spike_peak_dn,36.70271202,53.0434,0,1,2
1210313689,3361 H02,CCTE_Shafer_MEA_dev_per_burst_interspike_interval_DIV12_dn,-49.18101851,52.8475,0,1,2
1210313689,3361 H02,CCTE_Shafer_MEA_dev_per_burst_interspike_interval_DIV12_up,49.18101851,68.4416,0,1,2
1210313689,3361 H02,CCTE_Shafer_MEA_dev_per_network_spike_spike_number_mean_DIV12_up,13.39361163,63.308,0,1,2
1210314424,3360 G10,CCTE_Shafer_MEA_dev_LDH_dn,32.8434238,30,1,1,2
1210314424,3360 G10,CCTE_Shafer_MEA_dev_bursting_electrodes_number_dn,68.75,47.0176,1,1,2
1210314424,3360 G10,CCTE_Shafer_MEA_dev_AB_dn,8.654709017,30,0,1,2
1210314424,3360 G10,CCTE_Shafer_MEA_dev_firing_rate_mean_DIV12_dn,29.57765308,55.5246,0,1,2
1210314424,3360 G10,CCTE_Shafer_MEA_dev_inter_network_spike_interval_mean_up,8.295127736,472.59,0,1,2
1210314424,3360 G10,CCTE_Shafer_MEA_dev_mutual_information_norm_up,-38.71131979,118.434,0,1,2
1210314424,3360 G10,CCTE_Shafer_MEA_dev_network_spike_peak_DIV12_dn,10.04853501,26.6127,0,1,2
1210314424,3360 G10,CCTE_Shafer_MEA_dev_network_spike_peak_dn,40.3523101,53.0434,0,1,2
