"date","Plate.SN","well","DIV","treatment","dose","units","file.name","meanfiringrate","burst.per.min","mean.isis","per.spikes.in.burst","mean.dur","mean.IBIs","nAE","nABE","ns.n","ns.peak.m","ns.durn.m","ns.percent.of.spikes.in.ns","ns.mean.insis","ns.durn.sd","ns.mean.spikes.in.ns","r","mi","wllq","wllq_notes"
"20210127","MW75-5620","A8",7,"Chlorpyrifos oxon","30.00000","uM","NFA_20210127_MW75-5620_07_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,0,"low activity across culture; "
"20210127","MW75-5620","A8",9,"Chlorpyrifos oxon","30.00000","uM","NFA_20210127_MW75-5620_09_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,0,"low activity across culture; "
"20210127","MW75-5620","B1",12,"Chlorpyrifos oxon","0.03000","uM","NFA_20210127_MW75-5620_12_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,0,"low activity across culture; "
"20210127","MW75-5620","B1",5,"Chlorpyrifos oxon","0.03000","uM","NFA_20210127_MW75-5620_05_00(000).h5",0.184463973030389,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,0,0,"low activity across culture; "
"20210127","MW75-5620","B1",7,"Chlorpyrifos oxon","0.03000","uM","NFA_20210127_MW75-5620_07_00(000).h5",0.923953031761583,2.205,0.123449516339869,35.176,0.715,5.264,4,1,0,NA,NA,0,NA,NA,NA,0.00221698621641814,7.75361985395906e-06,0,"low activity across culture; "
"20210127","MW75-5620","B1",9,"Chlorpyrifos oxon","0.03000","uM","NFA_20210127_MW75-5620_09_00(000).h5",1.86602428613941,4,0.143293076923077,52.944,1.904,3.112,3,1,0,NA,NA,0,NA,NA,NA,-0.00231885488139538,0,0,"low activity across culture; "
"20210127","MW75-5620","B2",12,"Chlorpyrifos oxon","0.00000","uM","NFA_20210127_MW75-5620_12_00(000).h5",2.06850717937605,1.56,0.172777247706422,7.093,0.819,37.724,1,1,0,NA,NA,0,NA,NA,NA,0,0,0,"low activity across culture; "
"20210127","MW75-5620","B2",5,"Chlorpyrifos oxon","0.00000","uM","NFA_20210127_MW75-5620_05_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,0,"low activity across culture; "
"20210127","MW75-5620","B2",7,"Chlorpyrifos oxon","0.00000","uM","NFA_20210127_MW75-5620_07_00(000).h5",1.48788106978804,2.04,0.153675405405404,14.246,0.746,13.803,2,1,0,NA,NA,0,NA,NA,NA,0.00341799315303763,0,0,"low activity across culture; "
"20210127","MW75-5620","B2",9,"Chlorpyrifos oxon","0.00000","uM","NFA_20210127_MW75-5620_09_00(000).h5",1.05838912219995,0.3,0.169470476190474,3.23,0.791,57.942,2,1,0,NA,NA,0,NA,NA,NA,0.00493121755793776,1.06768318908212e-07,0,"low activity across culture; "
"20210127","MW75-5620","B3",12,"Chlorpyrifos oxon","0.10000","uM","NFA_20210127_MW75-5620_12_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,0,"low activity across culture; "
"20210127","MW75-5620","B3",5,"Chlorpyrifos oxon","0.10000","uM","NFA_20210127_MW75-5620_05_00(000).h5",0.859535440596422,0.39,0.175256923076923,5.035,0.759,60.096,2,1,0,NA,NA,0,NA,NA,NA,0.000173501802499662,0,0,"low activity across culture; "
"20210127","MW75-5620","B3",7,"Chlorpyrifos oxon","0.10000","uM","NFA_20210127_MW75-5620_07_00(000).h5",0.773942617705282,0.12,NA,0,NA,NA,2,0,0,NA,NA,0,NA,NA,NA,-0.00114678623816056,5.40696725283285e-06,0,"low activity across culture; "
"20210127","MW75-5620","B3",9,"Chlorpyrifos oxon","0.10000","uM","NFA_20210127_MW75-5620_09_00(000).h5",0.697814560358604,0.03,NA,0,NA,NA,2,0,0,NA,NA,0,NA,NA,NA,0.0056771687585903,3.42380754234095e-08,0,"low activity across culture; "
"20210127","MW75-5620","B4",12,"Chlorpyrifos oxon","0.30000","uM","NFA_20210127_MW75-5620_12_00(000).h5",0.871418392601195,0,NA,0,NA,NA,2,0,0,NA,NA,0,NA,NA,NA,-0.000953414304897665,6.2185107757573e-10,0,"low activity across culture; "
"20210127","MW75-5620","B4",5,"Chlorpyrifos oxon","0.30000","uM","NFA_20210127_MW75-5620_05_00(000).h5",0.19335380305595,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,0,0,"low activity across culture; "
"20210127","MW75-5620","B4",7,"Chlorpyrifos oxon","0.30000","uM","NFA_20210127_MW75-5620_07_00(000).h5",0.117785954740502,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,0,0,"low activity across culture; "
"20210127","MW75-5620","B4",9,"Chlorpyrifos oxon","0.30000","uM","NFA_20210127_MW75-5620_09_00(000).h5",0.737816668914193,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,0,0,"low activity across culture; "
"20210127","MW75-5620","B5",12,"Chlorpyrifos oxon","1.00000","uM","NFA_20210127_MW75-5620_12_00(000).h5",0.353457970468342,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,0,0,"low activity across culture; "
"20210127","MW75-5620","B5",5,"Chlorpyrifos oxon","1.00000","uM","NFA_20210127_MW75-5620_05_00(000).h5",0.540057174052826,0.24,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,0,0,"low activity across culture; "
"20210127","MW75-5620","B5",7,"Chlorpyrifos oxon","1.00000","uM","NFA_20210127_MW75-5620_07_00(000).h5",0.507813031286883,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,0,0,"low activity across culture; "
"20210127","MW75-5620","B5",9,"Chlorpyrifos oxon","1.00000","uM","NFA_20210127_MW75-5620_09_00(000).h5",0.148896737401358,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,0,0,"low activity across culture; "
"20210127","MW75-5620","B6",12,"Chlorpyrifos oxon","3.00000","uM","NFA_20210127_MW75-5620_12_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,0,"low activity across culture; "
"20210127","MW75-5620","B6",5,"Chlorpyrifos oxon","3.00000","uM","NFA_20210127_MW75-5620_05_00(000).h5",0.736744663368362,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,0,0,"low activity across culture; "
"20210127","MW75-5620","B6",7,"Chlorpyrifos oxon","3.00000","uM","NFA_20210127_MW75-5620_07_00(000).h5",0.203347450165207,0.03,NA,0,NA,NA,2,0,0,NA,NA,0,NA,NA,NA,-0.00164493184401551,0,0,"low activity across culture; "
"20210127","MW75-5620","B6",9,"Chlorpyrifos oxon","3.00000","uM","NFA_20210127_MW75-5620_09_00(000).h5",0.74781719605309,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,0,0,"low activity across culture; "
"20210127","MW75-5620","B7",12,"Chlorpyrifos oxon","10.00000","uM","NFA_20210127_MW75-5620_12_00(000).h5",0.117819323489447,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,0,0,"low activity across culture; "
"20210127","MW75-5620","B7",5,"Chlorpyrifos oxon","10.00000","uM","NFA_20210127_MW75-5620_05_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,0,"low activity across culture; "
"20210127","MW75-5620","B7",7,"Chlorpyrifos oxon","10.00000","uM","NFA_20210127_MW75-5620_07_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,0,"low activity across culture; "
"20210127","MW75-5620","B7",9,"Chlorpyrifos oxon","10.00000","uM","NFA_20210127_MW75-5620_09_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,0,"low activity across culture; "
"20210127","MW75-5620","B8",12,"Chlorpyrifos oxon","30.00000","uM","NFA_20210127_MW75-5620_12_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,0,"low activity across culture; "
"20210127","MW75-5620","B8",5,"Chlorpyrifos oxon","30.00000","uM","NFA_20210127_MW75-5620_05_00(000).h5",0.708408330161887,0.72,0.172885957446808,10.229,0.739,40.348,2,1,0,NA,NA,0,NA,NA,NA,0.00308094203855048,0,0,"low activity across culture; "
"20210127","MW75-5620","B8",7,"Chlorpyrifos oxon","30.00000","uM","NFA_20210127_MW75-5620_07_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,0,"low activity across culture; "
"20210127","MW75-5620","B8",9,"Chlorpyrifos oxon","30.00000","uM","NFA_20210127_MW75-5620_09_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,0,"low activity across culture; "
"20210127","MW75-5620","C1",12,"Media","0.00000","uM","NFA_20210127_MW75-5620_12_00(000).h5",0.937830699945483,1.14,0.1863334,20.242,1.096,12.177,4,1,0,NA,NA,0,NA,NA,NA,-0.00169170102523311,9.24716824821092e-07,0,"low activity across culture; "
"20210127","MW75-5620","C1",5,"Media","0.00000","uM","NFA_20210127_MW75-5620_05_00(000).h5",1.19345968093155,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,0,0,"low activity across culture; "
"20210127","MW75-5620","C1",7,"Media","0.00000","uM","NFA_20210127_MW75-5620_07_00(000).h5",2.28571423491711,3.33,0.154660732700136,25.612,1.14,7.862,2,1,0,NA,NA,0,NA,NA,NA,0.00348500669826706,1.28274851588506e-05,0,"low activity across culture; "
"20210127","MW75-5620","C1",9,"Media","0.00000","uM","NFA_20210127_MW75-5620_09_00(000).h5",0.557807180414043,0.685714285714286,0.173528818897639,29.369,1.002,12.252,7,1,0,NA,NA,0,NA,NA,NA,-0.00101411950104326,9.5032803664602e-07,0,"low activity across culture; "
"20210127","MW75-5620","C2",12,"Media","0.00000","uM","NFA_20210127_MW75-5620_12_00(000).h5",1.55443701792445,0,NA,0,NA,NA,2,0,0,NA,NA,0,NA,NA,NA,0.00248552368868243,1.04036317949419e-07,0,"low activity across culture; "
"20210127","MW75-5620","C2",5,"Media","0.00000","uM","NFA_20210127_MW75-5620_05_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,0,"low activity across culture; "
"20210127","MW75-5620","C2",7,"Media","0.00000","uM","NFA_20210127_MW75-5620_07_00(000).h5",1.14415350375287,4.48,0.121350776621296,51.784,0.75,3.702,3,1,0,NA,NA,0,NA,NA,NA,-0.00100506203432188,0,0,"low activity across culture; "
"20210127","MW75-5620","C2",9,"Media","0.00000","uM","NFA_20210127_MW75-5620_09_00(000).h5",0.880601973064002,0.47,0.170496768558953,7.532,0.93,17.393,6,1,0,NA,NA,0,NA,NA,NA,0.0429434231058649,3.80929157001164e-06,0,"low activity across culture; "
"20210127","MW75-5620","C3",12,"Media","0.00000","uM","NFA_20210127_MW75-5620_12_00(000).h5",0.158944936405575,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,0,0,"low activity across culture; "
"20210127","MW75-5620","C3",5,"Media","0.00000","uM","NFA_20210127_MW75-5620_05_00(000).h5",0.79175048665152,0,NA,0,NA,NA,2,0,0,NA,NA,0,NA,NA,NA,-0.00427850341695421,6.9350507730867e-06,0,"low activity across culture; "
"20210127","MW75-5620","C3",7,"Media","0.00000","uM","NFA_20210127_MW75-5620_07_00(000).h5",0.574762123486084,0,NA,0,NA,NA,4,0,0,NA,NA,0,NA,NA,NA,-0.00207990885830748,1.04430822509133e-05,0,"low activity across culture; "
"20210127","MW75-5620","C3",9,"Media","0.00000","uM","NFA_20210127_MW75-5620_09_00(000).h5",0.464098537223636,0.05,NA,0,NA,NA,6,0,0,NA,NA,0,NA,NA,NA,-0.00123959471533825,2.31136872720639e-06,0,"low activity across culture; "
"20210127","MW75-5620","C4",12,"Media","0.00000","uM","NFA_20210127_MW75-5620_12_00(000).h5",0.103369783816213,0.06,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,0,0,"low activity across culture; "
"20210127","MW75-5620","C4",5,"Media","0.00000","uM","NFA_20210127_MW75-5620_05_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,0,"low activity across culture; "
"20210127","MW75-5620","C4",7,"Media","0.00000","uM","NFA_20210127_MW75-5620_07_00(000).h5",0.364469746744196,0.14,NA,0,NA,NA,3,0,0,NA,NA,0,NA,NA,NA,0.000132874032693339,2.43985847095049e-06,0,"low activity across culture; "
"20210127","MW75-5620","C4",9,"Media","0.00000","uM","NFA_20210127_MW75-5620_09_00(000).h5",1.58008328794576,3.03,0.131817695167286,22.84,0.779,9.108,2,1,0,NA,NA,0,NA,NA,NA,0.0025554058453184,0,0,"low activity across culture; "
"20210127","MW75-5620","C5",12,"Media","0.00000","uM","NFA_20210127_MW75-5620_12_00(000).h5",0.412367632213066,0.02,NA,0,NA,NA,3,0,0,NA,NA,0,NA,NA,NA,-0.0015621811228819,5.97665009909737e-07,0,"low activity across culture; "
"20210127","MW75-5620","C5",5,"Media","0.00000","uM","NFA_20210127_MW75-5620_05_00(000).h5",0.712297630798069,0.12,NA,0,NA,NA,2,0,0,NA,NA,0,NA,NA,NA,-0.00147469393730482,0,0,"low activity across culture; "
"20210127","MW75-5620","C5",7,"Media","0.00000","uM","NFA_20210127_MW75-5620_07_00(000).h5",0.163344673083527,0.18,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,0,0,"low activity across culture; "
"20210127","MW75-5620","C5",9,"Media","0.00000","uM","NFA_20210127_MW75-5620_09_00(000).h5",0.568641084814515,0.36,0.121272606060606,10.5455,0.571,69.302,4,2,0,NA,NA,0,NA,NA,NA,0.00127525709635944,1.53934968909891e-06,0,"low activity across culture; "
"20210127","MW75-5620","C6",12,"Media","0.00000","uM","NFA_20210127_MW75-5620_12_00(000).h5",0.525185191969471,0,NA,0,NA,NA,2,0,0,NA,NA,0,NA,NA,NA,0.00149603324327097,3.36038041737902e-06,0,"low activity across culture; "
"20210127","MW75-5620","C6",5,"Media","0.00000","uM","NFA_20210127_MW75-5620_05_00(000).h5",1.35792153640443,0,NA,0,NA,NA,2,0,0,NA,NA,0,NA,NA,NA,-0.00620147417863104,0,0,"low activity across culture; "
"20210127","MW75-5620","C6",7,"Media","0.00000","uM","NFA_20210127_MW75-5620_07_00(000).h5",0.232979136892377,0,NA,0,NA,NA,3,0,0,NA,NA,0,NA,NA,NA,0.00100175033601847,0,0,"low activity across culture; "
"20210127","MW75-5620","C6",9,"Media","0.00000","uM","NFA_20210127_MW75-5620_09_00(000).h5",1.52008012511237,1.572,0.25484697466468,34.209,1.555,6.648,5,1,0,NA,NA,0,NA,NA,NA,-0.000140256243712001,1.00761858380187e-05,0,"low activity across culture; "
"20210127","MW75-5620","C7",12,"Media","0.00000","uM","NFA_20210127_MW75-5620_12_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,0,"low activity across culture; "
"20210127","MW75-5620","C7",5,"Media","0.00000","uM","NFA_20210127_MW75-5620_05_00(000).h5",0.140014822902585,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,0,0,"low activity across culture; "
"20210127","MW75-5620","C7",7,"Media","0.00000","uM","NFA_20210127_MW75-5620_07_00(000).h5",0.780054153092761,0,NA,0,NA,NA,1,1,0,NA,NA,0,NA,NA,NA,0,0,0,"low activity across culture; "
"20210127","MW75-5620","C7",9,"Media","0.00000","uM","NFA_20210127_MW75-5620_09_00(000).h5",0.3555742982719,0.09,NA,0,NA,NA,2,0,1,6,0.225,1.14213197969543,NA,NA,9,0.0121748955182176,9.07391665443125e-06,0,"low activity across culture; "
"20210127","MW75-5620","C8",12,"Media","0.00000","uM","NFA_20210127_MW75-5620_12_00(000).h5",1.60112014609952,0.63,0.0401230769230785,6.118,0.302,47.491,2,1,0,NA,NA,0,NA,NA,NA,0.0271292816920102,0,0,"low activity across culture; "
"20210127","MW75-5620","C8",5,"Media","0.00000","uM","NFA_20210127_MW75-5620_05_00(000).h5",0.165573084226072,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,0,0,"low activity across culture; "
"20210127","MW75-5620","C8",7,"Media","0.00000","uM","NFA_20210127_MW75-5620_07_00(000).h5",0.41113965333949,0.12,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,0,0,"low activity across culture; "
"20210127","MW75-5620","C8",9,"Media","0.00000","uM","NFA_20210127_MW75-5620_09_00(000).h5",1.44896526545799,0.1,NA,0,NA,NA,3,0,0,NA,NA,0,NA,NA,NA,0.00113420543621309,1.8280475744259e-10,0,"low activity across culture; "
