date,Plate.SN,DIV,well,trt,dose,units,Mutual Information
20160720,MW1139-19,7,F5,Bis(2-ethylhexyl) tetrabromophthalate,0.3,uM,0.000859498
20160720,MW1139-19,7,F6,Bis(2-ethylhexyl) tetrabromophthalate,1,uM,0.000305805
20160720,MW1139-19,7,F7,Bis(2-ethylhexyl) tetrabromophthalate,3,uM,1.57E-05
20160720,MW1139-19,7,F8,Bis(2-ethylhexyl) tetrabromophthalate,10,uM,0.000162629
20160720,MW1139-19,9,A1,2-Ethylhexyl diphenyl phosphate,20,uM,0.00830623
20160720,MW1139-19,9,A2,2-Ethylhexyl diphenyl phosphate,0,uM,0.014175283
20160720,MW1139-19,9,A3,2-Ethylhexyl diphenyl phosphate,0.03,uM,0.010078685
20160720,MW1139-19,9,A4,2-Ethylhexyl diphenyl phosphate,0.1,uM,0.009122214
20160720,MW1139-19,9,A5,2-Ethylhexyl diphenyl phosphate,0.3,uM,0.011579313
20160720,MW1139-19,9,A6,2-Ethylhexyl diphenyl phosphate,1,uM,0.011473087
20160720,MW1139-19,9,A7,2-Ethylhexyl diphenyl phosphate,3,uM,0.005750835
20160720,MW1139-19,9,A8,2-Ethylhexyl diphenyl phosphate,10,uM,0.00315842
20160720,MW1139-19,9,B1,"2-Ethylhexyl-2,3,4,5-tetrabromobenzoate",20,uM,0
20160720,MW1139-19,9,B2,"2-Ethylhexyl-2,3,4,5-tetrabromobenzoate",0,uM,0.01590694
20160720,MW1139-19,9,B3,"2-Ethylhexyl-2,3,4,5-tetrabromobenzoate",0.03,uM,0.006190685
20160720,MW1139-19,9,B4,"2-Ethylhexyl-2,3,4,5-tetrabromobenzoate",0.1,uM,0.00488404
20160720,MW1139-19,9,B5,"2-Ethylhexyl-2,3,4,5-tetrabromobenzoate",0.3,uM,0.006091301
20160720,MW1139-19,9,B6,"2-Ethylhexyl-2,3,4,5-tetrabromobenzoate",1,uM,0.005491536
20160720,MW1139-19,9,B7,"2-Ethylhexyl-2,3,4,5-tetrabromobenzoate",3,uM,0.002846663
20160720,MW1139-19,9,B8,"2-Ethylhexyl-2,3,4,5-tetrabromobenzoate",10,uM,0.005595386
20160720,MW1139-19,9,C1,"2,2',4,4',5-Pentabromodiphenyl ether",20,uM,0
20160720,MW1139-19,9,C2,"2,2',4,4',5-Pentabromodiphenyl ether",0,uM,0.016428544
20160720,MW1139-19,9,C3,"2,2',4,4',5-Pentabromodiphenyl ether",0.03,uM,0.005653358
20160720,MW1139-19,9,C4,"2,2',4,4',5-Pentabromodiphenyl ether",0.1,uM,0.006660121
20160720,MW1139-19,9,C5,"2,2',4,4',5-Pentabromodiphenyl ether",0.3,uM,0.007089609
20160720,MW1139-19,9,C6,"2,2',4,4',5-Pentabromodiphenyl ether",1,uM,0.005273897
20160720,MW1139-19,9,C7,"2,2',4,4',5-Pentabromodiphenyl ether",3,uM,0.005458726
20160720,MW1139-19,9,C8,"2,2',4,4',5-Pentabromodiphenyl ether",10,uM,0.002091188
20160720,MW1139-19,9,D1,"2,2',4,4',5,5'-Hexabromodiphenyl ether",10,uM,0.003768037
20160720,MW1139-19,9,D2,"2,2',4,4',5,5'-Hexabromodiphenyl ether",0,uM,0.015575533
20160720,MW1139-19,9,D3,"2,2',4,4',5,5'-Hexabromodiphenyl ether",0.02,uM,0.002274087
20160720,MW1139-19,9,D4,"2,2',4,4',5,5'-Hexabromodiphenyl ether",0.05,uM,0.005156718
20160720,MW1139-19,9,D5,"2,2',4,4',5,5'-Hexabromodiphenyl ether",0.15,uM,0.002681404
20160720,MW1139-19,9,D6,"2,2',4,4',5,5'-Hexabromodiphenyl ether",0.5,uM,0.004318799
20160720,MW1139-19,9,D7,"2,2',4,4',5,5'-Hexabromodiphenyl ether",1.5,uM,0.00340973
20160720,MW1139-19,9,D8,"2,2',4,4',5,5'-Hexabromodiphenyl ether",5,uM,0.003164421
20160720,MW1139-19,9,E1,"2,2',4,4'-Tetrabromodiphenyl ether",20,uM,3.29E-06
20160720,MW1139-19,9,E2,"2,2',4,4'-Tetrabromodiphenyl ether",0,uM,0.021296853
20160720,MW1139-19,9,E3,"2,2',4,4'-Tetrabromodiphenyl ether",0.03,uM,0.007999616
20160720,MW1139-19,9,E4,"2,2',4,4'-Tetrabromodiphenyl ether",0.1,uM,0.00366095
20160720,MW1139-19,9,E5,"2,2',4,4'-Tetrabromodiphenyl ether",0.3,uM,0.007722772
20160720,MW1139-19,9,E6,"2,2',4,4'-Tetrabromodiphenyl ether",1,uM,0.002781346
20160720,MW1139-19,9,E7,"2,2',4,4'-Tetrabromodiphenyl ether",3,uM,0.001842604
20160720,MW1139-19,9,E8,"2,2',4,4'-Tetrabromodiphenyl ether",10,uM,0.001007528
20160720,MW1139-19,9,F1,Bis(2-ethylhexyl) tetrabromophthalate,20,uM,0.0010024
20160720,MW1139-19,9,F2,Bis(2-ethylhexyl) tetrabromophthalate,0,uM,0.005020417
20160720,MW1139-19,9,F3,Bis(2-ethylhexyl) tetrabromophthalate,0.03,uM,0.00737787
20160720,MW1139-19,9,F4,Bis(2-ethylhexyl) tetrabromophthalate,0.1,uM,0.011239036
20160720,MW1139-19,9,F5,Bis(2-ethylhexyl) tetrabromophthalate,0.3,uM,0.007142185
20160720,MW1139-19,9,F6,Bis(2-ethylhexyl) tetrabromophthalate,1,uM,0.00482523
20160720,MW1139-19,9,F7,Bis(2-ethylhexyl) tetrabromophthalate,3,uM,0.002164637
20160720,MW1139-19,9,F8,Bis(2-ethylhexyl) tetrabromophthalate,10,uM,0.003375716
20160720,MW1139-19,12,A1,2-Ethylhexyl diphenyl phosphate,20,uM,0.022180209
20160720,MW1139-19,12,A2,2-Ethylhexyl diphenyl phosphate,0,uM,0.024521232
20160720,MW1139-19,12,A3,2-Ethylhexyl diphenyl phosphate,0.03,uM,0.013537374
20160720,MW1139-19,12,A4,2-Ethylhexyl diphenyl phosphate,0.1,uM,0.021563478
20160720,MW1139-19,12,A5,2-Ethylhexyl diphenyl phosphate,0.3,uM,0.025211725
20160720,MW1139-19,12,A6,2-Ethylhexyl diphenyl phosphate,1,uM,0.022580006
20160720,MW1139-19,12,A7,2-Ethylhexyl diphenyl phosphate,3,uM,0.010905751
20160720,MW1139-19,12,A8,2-Ethylhexyl diphenyl phosphate,10,uM,0.008470416
20160720,MW1139-19,12,B1,"2-Ethylhexyl-2,3,4,5-tetrabromobenzoate",20,uM,0
20160720,MW1139-19,12,B2,"2-Ethylhexyl-2,3,4,5-tetrabromobenzoate",0,uM,0.019157261
20160720,MW1139-19,12,B3,"2-Ethylhexyl-2,3,4,5-tetrabromobenzoate",0.03,uM,0.010932814
20160720,MW1139-19,12,B4,"2-Ethylhexyl-2,3,4,5-tetrabromobenzoate",0.1,uM,0.014439141
20160720,MW1139-19,12,B5,"2-Ethylhexyl-2,3,4,5-tetrabromobenzoate",0.3,uM,0.025831361
20160720,MW1139-19,12,B6,"2-Ethylhexyl-2,3,4,5-tetrabromobenzoate",1,uM,0.014581677
20160720,MW1139-19,12,B7,"2-Ethylhexyl-2,3,4,5-tetrabromobenzoate",3,uM,0.013564845
